0,0.976667
15,0.816667
30,0.656667
45,0.583333
60,0.506667
75,0.353333
90,0.346667
105,0.253333
120,0.206667
135,0.166667
150,0.15
165,0.133333
180,0.076667
195,0.066667
210,0.073333
225,0.073333
240,0.043333
255,0.06
270,0.03
285,0.043333
300,0.033333
315,0.016667
330,0.04
345,0.013333
360,0.023333
375,0.023333
390,0.023333
405,0.013333
420,0.01
435,0.02
450,0.02
465,0.02
480,0.023333
495,0.016667
510,0.003333
525,0.013333
540,0.01
555,0.006667
570,0.003333
585,0.003333
