time_us,Sx,Sy
0.0,0.976,0.0020000000000000018
4.0,0.978,0.11000000000000004
8.0,0.9299999999999999,0.32200000000000006
12.0,0.868,0.414
16.0,0.752,0.5800000000000001
20.0,0.6639999999999999,0.6639999999999999
24.0,0.5680000000000001,0.736
28.0,0.444,0.878
32.0,0.292,0.9099999999999999
36.0,0.11800000000000005,0.95
40.0,-0.07800000000000001,0.9359999999999999
44.0,-0.15800000000000003,0.9299999999999999
48.0,-0.29,0.848
52.0,-0.37000000000000005,0.8160000000000001
56.0,-0.534,0.744
60.0,-0.6,0.588
64.0,-0.6880000000000001,0.47800000000000004
68.0,-0.7160000000000001,0.366
72.0,-0.746,0.23199999999999998
76.0,-0.7699999999999999,0.08400000000000002
80.0,-0.7639999999999999,-0.006000000000000005
84.0,-0.73,-0.11000000000000004
88.0,-0.646,-0.21400000000000002
92.0,-0.606,-0.344
96.0,-0.614,-0.388
100.0,-0.498,-0.482
104.0,-0.414,-0.5579999999999999
108.0,-0.29200000000000004,-0.5519999999999999
112.0,-0.16799999999999998,-0.5820000000000001
116.0,-0.07,-0.622
120.0,0.01599999999999996,-0.626
124.0,0.08000000000000002,-0.55
128.0,0.178,-0.502
132.0,0.276,-0.5
136.0,0.26,-0.47
140.0,0.394,-0.41
144.0,0.45,-0.3340000000000001
148.0,0.45799999999999996,-0.20799999999999996
152.0,0.496,-0.17600000000000005
156.0,0.546,-0.03600000000000003
160.0,0.534,0.07799999999999996
