time_us,Sx,Sy
0.0,0.996,0.01200000000000001
4.0,0.97,0.16199999999999998
8.0,0.9199999999999999,0.334
12.0,0.8520000000000001,0.456
16.0,0.782,0.6020000000000001
20.0,0.6759999999999999,0.694
24.0,0.56,0.798
28.0,0.424,0.88
32.0,0.29000000000000004,0.9139999999999999
36.0,0.15000000000000002,0.944
40.0,-0.05199999999999999,0.944
44.0,-0.20999999999999996,0.9
48.0,-0.31,0.8320000000000001
52.0,-0.43000000000000005,0.784
56.0,-0.528,0.66
60.0,-0.616,0.552
64.0,-0.656,0.45400000000000007
68.0,-0.7240000000000001,0.358
72.0,-0.7999999999999999,0.24800000000000005
76.0,-0.754,0.12
80.0,-0.7180000000000001,0.0
84.0,-0.744,-0.14600000000000002
88.0,-0.632,-0.262
92.0,-0.598,-0.33199999999999996
96.0,-0.468,-0.454
100.0,-0.40199999999999997,-0.542
104.0,-0.36800000000000005,-0.546
108.0,-0.236,-0.5680000000000001
112.0,-0.122,-0.5920000000000001
116.0,0.014000000000000012,-0.614
120.0,0.05199999999999999,-0.5920000000000001
124.0,0.11599999999999999,-0.5840000000000001
128.0,0.22999999999999998,-0.47
132.0,0.326,-0.518
136.0,0.41400000000000003,-0.4079999999999999
140.0,0.494,-0.35400000000000004
144.0,0.482,-0.27
148.0,0.504,-0.20400000000000001
152.0,0.556,-0.068
156.0,0.538,0.0020000000000000018
