time_us,Sx,Sy
0.0,0.982,0.04799999999999993
4.0,0.976,0.19399999999999995
8.0,0.9239999999999999,0.32600000000000007
12.0,0.8520000000000001,0.49200000000000005
16.0,0.792,0.6020000000000001
20.0,0.6839999999999999,0.69
24.0,0.534,0.808
28.0,0.44,0.88
32.0,0.264,0.9179999999999999
36.0,0.09399999999999997,0.944
40.0,0.03799999999999998,0.9339999999999999
44.0,-0.134,0.912
48.0,-0.314,0.8540000000000001
52.0,-0.46199999999999997,0.7779999999999999
56.0,-0.54,0.6960000000000001
60.0,-0.626,0.58
64.0,-0.6940000000000001,0.482
68.0,-0.742,0.326
72.0,-0.736,0.2
76.0,-0.754,0.016000000000000014
80.0,-0.776,-0.05399999999999999
84.0,-0.708,-0.14800000000000002
88.0,-0.622,-0.29800000000000004
92.0,-0.574,-0.344
96.0,-0.5519999999999999,-0.432
100.0,-0.436,-0.504
104.0,-0.368,-0.5840000000000001
108.0,-0.21800000000000003,-0.632
112.0,-0.16200000000000003,-0.6579999999999999
116.0,-0.028000000000000025,-0.624
120.0,0.04200000000000004,-0.624
124.0,0.16600000000000004,-0.55
128.0,0.20400000000000001,-0.532
132.0,0.28600000000000003,-0.472
136.0,0.40399999999999997,-0.39199999999999996
140.0,0.43399999999999994,-0.31800000000000006
144.0,0.514,-0.33599999999999997
148.0,0.516,-0.188
152.0,0.54,-0.122
156.0,0.522,-0.062
